algorithm,n,time,comparisons,allocations,depth
mergesort,100,11399700,286,301,3
quicksort,100,131200,437,0,1
select,100,116300,636,0,0
closestpair,100,3699000,130,0,6
mergesort,1000,666700,5881,6001,6
quicksort,1000,604800,8982,0,1
select,1000,355100,5935,0,0
closestpair,1000,3503100,1079,0,9
mergesort,5000,1290500,44058,45001,9
quicksort,5000,1047500,66742,0,1
select,5000,718600,27304,0,0
closestpair,5000,9483300,6421,0,11
mergesort,10000,2379100,98008,100001,10
quicksort,10000,3272400,131954,0,1
select,10000,3650200,61215,0,0
closestpair,10000,15203500,12716,0,12
