algorithm,n,time,comparisons,allocations,depth
mergesort,100,16255900,288,301,3
quicksort,100,101400,427,0,1
select,100,64400,582,0,0
closestpair,100,5817600,132,0,6
mergesort,1000,3501800,5875,6001,6
quicksort,1000,834500,8071,0,1
select,1000,427300,6129,0,0
closestpair,1000,6985700,1089,0,9
mergesort,5000,1643400,44053,45001,9
quicksort,5000,1708600,60982,0,1
select,5000,1501400,30995,0,0
closestpair,5000,14062700,6365,0,11
mergesort,10000,4677200,98076,100001,10
quicksort,10000,2926000,136687,0,1
select,10000,4550300,53984,0,0
closestpair,10000,35503900,12751,0,12
